TEAM,PLAYER,POSITION,SCHOOL,Rating,Year.Selection,Overall sel,Pos.conv,Rated,last,first,fuzzy_key
Dallas Cowboys,Damien Wilson,LB,Minnesota,,2015_127,127,LB,No,Wilson,Damien,wiliensondam
Oakland Raiders,Jon Feliciano,G,Miami (Fla.),0.8622,2015_128,128,OL,Yes,Feliciano,Jon,feljonanojon
Green Bay Packers,Jake Ryan,LB,Michigan,0.8622,2015_129,129,LB,Yes,Ryan,Jake,ryaakeyanjak
Seattle Seahawks,Terry Poole,T,San Diego State,,2015_130,130,OL,No,Poole,Terry,poorryoleter
New England Patriots,Shaq Mason,C,Georgia Tech,,2015_131,131,OL,No,Mason,Shaq,mashaqsonsha
San Francisco 49ers,DeAndre Smelter,WR,Georgia Tech,0.8622,2015_132,132,WR,Yes,Smelter,DeAndre,smedreterdea
Denver Broncos,Max Garcia,C,Florida,0.8622,2015_133,133,OL,Yes,Garcia,Max,garmaxciamax
Seattle Seahawks,Mark Glowinski,G,West Virginia,,2015_134,134,OL,No,Glowinski,Mark,gloarkskimar
Cincinnati Bengals,Marcus Hardison,DT,Arizona State,,2015_135,135,DL,No,Hardison,Marcus,harcussonmar
Baltimore Ravens,Tray Walker,CB,Texas Southern,,2015_136,136,DB,No,Walker,Tray,walraykertra
Houston Texans,Jadeveon Clowney,DE,South Carolina,1,2014_1,1,DL,Yes,Clowney,Jadeveon,cloeonneyjad
St. Louis Rams,Greg Robinson,T,Auburn,0.9389,2014_2,2,OL,Yes,Robinson,Greg,robregsongre
Jacksonville Jaguars,Blake Bortles,QB,Central Florida,0.859,2014_3,3,QB,Yes,Bortles,Blake,borakelesbla
Buffalo Bills,Sammy Watkins,WR,Clemson,0.9906,2014_4,4,WR,Yes,Watkins,Sammy,watmmyinssam
Oakland Raiders,Khalil Mack,OLB,Buffalo,,2014_5,5,LB,No,Mack,Khalil,maclilackkha
Atlanta Falcons,Jake Matthews,T,Texas A&M,0.981,2014_6,6,OL,Yes,Matthews,Jake,matakeewsjak
Tampa Bay Buccaneers,Mike Evans,WR,Texas A&M,0.8493,2014_7,7,WR,Yes,Evans,Mike,evaikeansmik
Cleveland Browns,Justin Gilbert,CB,Oklahoma State,0.9059,2014_8,8,DB,Yes,Gilbert,Justin,giltinertjus
Minnesota Vikings,Anthony Barr,OLB,UCLA,0.9701,2014_9,9,LB,Yes,Barr,Anthony,baronyarrant
Detroit Lions,Eric Ebron,TE,North Carolina,0.8671,2014_10,10,TE,Yes,Ebron,Eric,ebrricroneri
Tennessee Titans,Taylor Lewan,T,Michigan,0.9244,2014_11,11,OL,Yes,Lewan,Taylor,lewlorwantay
New York Giants,Odell Beckham,WR,LSU,,2014_12,12,WR,No,Beckham,Odell,becellhamode
St. Louis Rams,Aaron Donald,DT,Pittsburgh,0.8893,2014_13,13,DL,Yes,Donald,Aaron,donronaldaar
Chicago Bears,Kyle Fuller,CB,Virginia Tech,0.8797,2014_14,14,DB,Yes,Fuller,Kyle,fulylelerkyl
Pittsburgh Steelers,Ryan Shazier,OLB,Ohio State,0.9476,2014_15,15,LB,Yes,Shazier,Ryan,shayanierrya
Dallas Cowboys,Zack Martin,T,Notre Dame,0.9319,2014_16,16,OL,Yes,Martin,Zack,maracktinzac
Baltimore Ravens,C.J. Mosley,ILB,Alabama,0.9644,2014_17,17,LB,Yes,Mosley,C.J.,mos.j.leyc.j
New York Jets,Calvin Pryor,FS,Louisville,0.859,2014_18,18,DB,Yes,Pryor,Calvin,pryvinyorcal
Miami Dolphins,Ja'Wuan James,T,Tennessee,0.9849,2014_19,19,OL,Yes,James,Ja'Wuan,jamuanmesja'
New Orleans Saints,Brandin Cooks,WR,Oregon State,0.8746,2014_20,20,WR,Yes,Cooks,Brandin,coodinoksbra
Green Bay Packers,Ha Ha Clinton-Dix,FS,Alabama,0.9955,2014_21,21,DB,Yes,Ha Clinton-Dix,Ha,hahadixha
Cleveland Browns,Johnny Manziel,QB,Texas A&M,0.874,2014_22,22,QB,Yes,Manziel,Johnny,mannnyieljoh
Kansas City Chiefs,Dee Ford,DE,Auburn,0.8789,2014_23,23,DL,Yes,Ford,Dee,fordeeorddee
Cincinnati Bengals,Darqueze Dennard,CB,Michigan State,,2014_24,24,DB,No,Dennard,Darqueze,denezearddar
San Diego Chargers,Jason Verrett,CB,Texas Christian,,2014_25,25,DB,No,Verrett,Jason,versonettjas
Philadelphia Eagles,Marcus Smith,DE,Louisville,0.8684,2014_26,26,DL,Yes,Smith,Marcus,smicusithmar
Arizona Cardinals,Deone Bucannon,SS,Washington State,0.8733,2014_27,27,DB,Yes,Bucannon,Deone,buconenondeo
Carolina Panthers,Kelvin Benjamin,WR,Florida State,0.9377,2014_28,28,WR,Yes,Benjamin,Kelvin,benvinminkel
New England Patriots,Dominique Easley,DT,Florida,0.9978,2014_29,29,DL,Yes,Easley,Dominique,easqueleydom
San Francisco 49ers,Jimmie Ward,SS,Northern Illinois,,2014_30,30,DB,No,Ward,Jimmie,warmieardjim
Denver Broncos,Bradley Roby,CB,Ohio State,0.8653,2014_31,31,DB,Yes,Roby,Bradley,robleyobybra
Minnesota Vikings,Teddy Bridgewater,QB,Louisville,0.9515,2014_32,32,QB,Yes,Bridgewater,Teddy,briddyterted
Houston Texans,Xavier Su'a-Filo,G,UCLA,0.9774,2014_33,33,OL,Yes,Su'a-Filo,Xavier,su'ieriloxav
Dallas Cowboys,Demarcus Lawrence,LB,Boise State,,2014_34,34,LB,No,Lawrence,Demarcus,lawcusncedem
Cleveland Browns,Joel Bitonio,T,Nevada,,2014_35,35,OL,No,Bitonio,Joel,bitoelniojoe
Oakland Raiders,Derek Carr,QB,Fresno State,0.8913,2014_36,36,QB,Yes,Carr,Derek,carrekarrder
Atlanta Falcons,Ra'Shede Hageman,DT,Minnesota,0.8863,2014_37,37,DL,Yes,Hageman,Ra'Shede,hagedemanra'
Tampa Bay Buccaneers,Austin Seferian-Jenkins,TE,Washington,0.9765,2014_38,38,TE,Yes,Seferian-Jenkins,Austin,seftininsaus
Jacksonville Jaguars,Marqise Lee,WR,USC,0.975,2014_39,39,WR,Yes,Lee,Marqise,leeiseleemar
Detroit Lions,Kyle Van Noy,OLB,Brigham Young,0.8998,2014_40,40,LB,Yes,Van Noy,Kyle,vanylenoykyl
St. Louis Rams,Lamarcus Joyner,CB,Florida State,0.9941,2014_41,41,DB,Yes,Joyner,Lamarcus,joycusnerlam
Philadelphia Eagles,Jordan Matthews,WR,Vanderbilt,,2014_42,42,WR,No,Matthews,Jordan,matdanewsjor
New York Giants,Weston Richburg,C,Colorado State,,2014_43,43,OL,No,Richburg,Weston,rictonurgwes
Buffalo Bills,Cyrus Kouandjio,T,Alabama,0.9994,2014_44,44,OL,Yes,Kouandjio,Cyrus,kourusjiocyr
Seattle Seahawks,Paul Richardson,WR,Colorado,0.9063,2014_45,45,WR,Yes,Richardson,Paul,ricaulsonpau
Pittsburgh Steelers,Stephon Tuitt,DT,Notre Dame,0.9824,2014_46,46,DL,Yes,Tuitt,Stephon,tuihonittste
Washington Redskins,Trent Murphy,DE,Stanford,,2014_47,47,DL,No,Murphy,Trent,murentphytre
Baltimore Ravens,Timmy Jernigan,DT,Florida State,0.9927,2014_48,48,DL,Yes,Jernigan,Timmy,jermmygantim
New York Jets,Jace Amaro,TE,Texas Tech,0.9408,2014_49,49,TE,Yes,Amaro,Jace,amaacearojac
San Diego Chargers,Jeremiah Attaochu,OLB,Georgia Tech,,2014_50,50,LB,No,Attaochu,Jeremiah,attiahchujer
Chicago Bears,Ego Ferguson,DT,LSU,0.9651,2014_51,51,DL,Yes,Ferguson,Ego,feregosonego
Arizona Cardinals,Troy Niklas,TE,Notre Dame,0.9187,2014_52,52,TE,Yes,Niklas,Troy,nikroylastro
Green Bay Packers,Davante Adams,WR,Fresno State,,2014_53,53,WR,No,Adams,Davante,adanteamsdav
Tennessee Titans,Bishop Sankey,RB,Washington,0.9028,2014_54,54,RB,Yes,Sankey,Bishop,sanhopkeybis
Cincinnati Bengals,Jeremy Hill,RB,LSU,0.8994,2014_55,55,RB,Yes,Hill,Jeremy,hilemyilljer
Denver Broncos,Cody Latimer,WR,Indiana,0.8487,2014_56,56,WR,Yes,Latimer,Cody,latodymercod
San Francisco 49ers,Carlos Hyde,RB,Ohio State,0.9078,2014_57,57,RB,Yes,Hyde,Carlos,hydlosydecar
New Orleans Saints,Stanley Jean-Baptiste,CB,Nebraska,,2014_58,58,DB,No,Jean-Baptiste,Stanley,jealeystesta
Indianapolis Colts,Jack Mewhort,T,Ohio State,0.9384,2014_59,59,OL,Yes,Mewhort,Jack,mewackortjac
Carolina Panthers,Kony Ealy,DE,Missouri,0.9156,2014_60,60,DL,Yes,Ealy,Kony,ealonyalykon
Jacksonville Jaguars,Allen Robinson,WR,Penn State,,2014_61,61,WR,No,Robinson,Allen,roblensonall
New England Patriots,Jimmy Garoppolo,QB,Eastern Illinois,,2014_62,62,QB,No,Garoppolo,Jimmy,garmmyolojim
Miami Dolphins,Jarvis Landry,WR,LSU,0.9922,2014_63,63,WR,Yes,Landry,Jarvis,lanvisdryjar
Seattle Seahawks,Justin Britt,T,Missouri,0.8776,2014_64,64,OL,Yes,Britt,Justin,britinittjus
Houston Texans,C.J. Fiedorowicz,TE,Iowa,0.9694,2014_65,65,TE,Yes,Fiedorowicz,C.J.,fie.j.iczc.j
Washington Redskins,Morgan Moses,T,Virginia,0.9597,2014_66,66,OL,Yes,Moses,Morgan,mosgansesmor
Miami Dolphins,Billy Turner,T,North Dakota State,,2014_67,67,OL,No,Turner,Billy,turllynerbil
Atlanta Falcons,Dezmen Southward,FS,Wisconsin,,2014_68,68,DB,No,Southward,Dezmen,soumenarddez
Tampa Bay Buccaneers,Charles Sims,RB,West Virginia,,2014_69,69,RB,No,Sims,Charles,simlesimscha
San Francisco 49ers,Marcus Martin,C,USC,0.8584,2014_70,70,OL,Yes,Martin,Marcus,marcustinmar
Cleveland Browns,Christian Kirksey,OLB,Iowa,0.8556,2014_71,71,LB,Yes,Kirksey,Christian,kirianseychr
Minnesota Vikings,Scott Crichton,DE,Oregon State,0.8556,2014_72,72,DL,Yes,Crichton,Scott,criotttonsco
Buffalo Bills,Preston Brown,ILB,Louisville,0.8542,2014_73,73,LB,Yes,Brown,Preston,brotonownpre
New York Giants,Jay Bromley,DT,Syracuse,,2014_74,74,DL,No,Bromley,Jay,brojayleyjay
St. Louis Rams,Tre Mason,RB,Auburn,0.8954,2014_75,75,RB,Yes,Mason,Tre,mastresontre
Detroit Lions,Travis Swanson,C,Arkansas,0.859,2014_76,76,OL,Yes,Swanson,Travis,swavissontra
San Francisco 49ers,Chris Borland,ILB,Wisconsin,,2014_77,77,LB,No,Borland,Chris,borrisandchr
Washington Redskins,Spencer Long,G,Nebraska,,2014_78,78,OL,No,Long,Spencer,loncerongspe
Baltimore Ravens,Terrence Brooks,FS,Florida State,0.8795,2014_79,79,DB,Yes,Brooks,Terrence,bronceokster
New York Jets,Dexter McDougle,CB,Maryland,0.8715,2014_80,80,DB,Yes,McDougle,Dexter,mcdtergledex
Oakland Raiders,Gabe Jackson,G,Mississippi State,,2014_81,81,OL,No,Jackson,Gabe,jacabesongab
Chicago Bears,Will Sutton,DT,Arizona State,,2014_82,82,DL,No,Sutton,Will,sutilltonwil
Houston Texans,Louis Nix,DT,Notre Dame,,2014_83,83,DL,No,Nix,Louis,nixuisnixlou
Arizona Cardinals,Kareem Martin,DE,North Carolina,0.8997,2014_84,84,DL,Yes,Martin,Kareem,mareemtinkar
Green Bay Packers,Khyri Thornton,DT,Southern Mississippi,,2014_85,85,DL,No,Thornton,Khyri,thoyritonkhy
Philadelphia Eagles,Josh Huff,WR,Oregon,0.9136,2014_86,86,WR,Yes,Huff,Josh,hufoshuffjos
Kansas City Chiefs,Phillip Gaines,CB,Rice,,2014_87,87,DB,No,Gaines,Phillip,gailipnesphi
Cincinnati Bengals,Will Clarke,DE,West Virginia,,2014_88,88,DL,No,Clarke,Will,claillrkewil
San Diego Chargers,Chris Watt,G,Notre Dame,0.9783,2014_89,89,OL,Yes,Watt,Chris,watrisattchr
Indianapolis Colts,Donte Moncrief,WR,Mississippi,0.9349,2014_90,90,WR,Yes,Moncrief,Donte,monnteiefdon
Arizona Cardinals,John Brown,WR,Pittsburg State,0.8556,2014_91,91,WR,Yes,Brown,John,broohnownjoh
Carolina Panthers,Trai Turner,G,LSU,0.8765,2014_92,92,OL,Yes,Turner,Trai,turrainertra
Jacksonville Jaguars,Brandon Linder,G,Miami (Fla.),0.9386,2014_93,93,OL,Yes,Linder,Brandon,lindonderbra
Cleveland Browns,Terrance West,RB,Towson,,2014_94,94,RB,No,West,Terrance,wesnceestter
Denver Broncos,Michael Schofield,T,Michigan,0.9089,2014_95,95,OL,Yes,Schofield,Michael,schaeleldmic
Minnesota Vikings,Jerick McKinnon,RB,Georgia Southern,,2014_96,96,RB,No,McKinnon,Jerick,mckicknonjer
Pittsburgh Steelers,Dri Archer,RB,Kent State,,2014_97,97,RB,No,Archer,Dri,arcdriherdri
Green Bay Packers,Richard Rodgers,TE,California,0.8515,2014_98,98,TE,Yes,Rodgers,Richard,rodardersric
Baltimore Ravens,Crockett Gillmore,TE,Colorado State,,2014_99,99,TE,No,Gillmore,Crockett,gilettorecro
San Francisco 49ers,Brandon Thomas,G,Clemson,0.903,2014_100,100,OL,Yes,Thomas,Brandon,thodonmasbra
Philadelphia Eagles,Jaylen Watkins,CB,Florida,0.9802,2014_101,101,DB,Yes,Watkins,Jaylen,watleninsjay
Washington Redskins,Bashaud Breeland,CB,Clemson,0.8774,2014_102,102,DB,Yes,Breeland,Bashaud,breaudandbas
Atlanta Falcons,Devonta Freeman,RB,Florida State,0.949,2014_103,103,RB,Yes,Freeman,Devonta,frentamandev
New York Jets,Jalen Saunders,WR,Oklahoma,,2014_104,104,WR,No,Saunders,Jalen,saulenersjal
New England Patriots,Bryan Stork,C,Florida State,0.859,2014_105,105,OL,Yes,Stork,Bryan,stoyanorkbry
San Francisco 49ers,Bruce Ellington,WR,South Carolina,0.9653,2014_106,106,WR,Yes,Ellington,Bruce,ellucetonbru
Oakland Raiders,Justin Ellis,DT,Louisiana Tech,,2014_107,107,DL,No,Ellis,Justin,elltinlisjus
Seattle Seahawks,Cassius Marsh,DE,UCLA,0.9441,2014_108,108,DL,Yes,Marsh,Cassius,mariusrshcas
Buffalo Bills,Ross Cockrell,CB,Duke,,2014_109,109,DB,No,Cockrell,Ross,cocossellros
St. Louis Rams,Maurice Alexander,SS,Utah State,,2014_110,110,DB,No,Alexander,Maurice,aleicedermau
Cincinnati Bengals,Russell Bodine,G,North Carolina,,2014_111,111,OL,No,Bodine,Russell,bodellinerus
Tennessee Titans,DaQuan Jones,DT,Penn State,0.8938,2014_112,112,DL,Yes,Jones,DaQuan,jonuannesdaq
New York Giants,Andre Williams,RB,Boston College,0.8639,2014_113,113,RB,Yes,Williams,Andre,wildreamsand
Jacksonville Jaguars,Aaron Colvin,CB,Oklahoma,0.8764,2014_114,114,DB,Yes,Colvin,Aaron,colronvinaar
New York Jets,Shaq Evans,WR,UCLA,,2014_115,115,WR,No,Evans,Shaq,evahaqanssha
Oakland Raiders,Keith McGill,CB,Utah,,2014_116,116,DB,No,McGill,Keith,mcgithillkei
Chicago Bears,Ka'Deem Carey,RB,Arizona,0.8799,2014_117,117,RB,Yes,Carey,Ka'Deem,careemreyka'
Pittsburgh Steelers,Martavis Bryant,WR,Clemson,0.943,2014_118,118,WR,Yes,Bryant,Martavis,bryvisantmar
Dallas Cowboys,Anthony Hitchens,OLB,Iowa,,2014_119,119,LB,No,Hitchens,Anthony,hitonyensant
Arizona Cardinals,Logan Thomas,QB,Virginia Tech,0.9742,2014_120,120,QB,Yes,Thomas,Logan,thoganmaslog
Green Bay Packers,Carl Bradford,OLB,Arizona State,0.867,2014_121,121,LB,Yes,Bradford,Carl,braarlordcar
Tennessee Titans,Marqueston Huff,DB,Wyoming,,2014_122,122,DB,No,Huff,Marqueston,huftonuffmar
Seattle Seahawks,Kevin Norwood,WR,Alabama,0.9051,2014_123,123,WR,Yes,Norwood,Kevin,norvinoodkev
Kansas City Chiefs,De'Anthony Thomas,RB,Oregon,0.9926,2014_124,124,RB,Yes,Thomas,De'Anthony,thoonymasde'
Miami Dolphins,Walt Aikens,CB,Liberty,,2014_125,125,DB,No,Aikens,Walt,aikaltenswal
New Orleans Saints,Khairi Fortt,OLB,California,0.9675,2014_126,126,LB,Yes,Fortt,Khairi,foririrttkha
Cleveland Browns,Pierre Desir,CB,Lindenwood,,2014_127,127,DB,No,Desir,Pierre,desrresirpie
Carolina Panthers,Tre Boston,SS,North Carolina,0.859,2014_128,128,DB,Yes,Boston,Tre,bostretontre
San Francisco 49ers,Dontae Johnson,CB,North Carolina State,0.8764,2014_129,129,DB,Yes,Johnson,Dontae,johtaesondon
New England Patriots,James White,RB,Wisconsin,0.8733,2014_130,130,RB,Yes,White,James,whimesitejam
Chicago Bears,Brock Vereen,SS,Minnesota,0.859,2014_131,131,DB,Yes,Vereen,Brock,verockeenbro
Seattle Seahawks,Kevin Pierre-Louis,OLB,Boston College,0.9101,2014_132,132,LB,Yes,Pierre-Louis,Kevin,pievinuiskev
Detroit Lions,Nevin Lawson,CB,Utah State,,2014_133,133,DB,No,Lawson,Nevin,lawvinsonnev
Baltimore Ravens,Brent Urban,DE,Virginia,,2014_134,134,DL,No,Urban,Brent,urbentbanbre
Houston Texans,Tom Savage,QB,Pittsburgh,0.9532,2014_135,135,QB,Yes,Savage,Tom,savtomagetom
Detroit Lions,Larry Webster,DE,Bloomsburg,,2014_136,136,DL,No,Webster,Larry,webrryterlar
New York Jets,Dakota Dozier,T,Furman,,2014_137,137,OL,No,Dozier,Dakota,dozotaierdak
Baltimore Ravens,Lorenzo Taliaferro,RB,Coastal Carolina,,2014_138,138,RB,No,Taliaferro,Lorenzo,talnzorrolor
Atlanta Falcons,Prince Shembo,OLB,Notre Dame,0.8899,2014_139,139,LB,Yes,Shembo,Prince,shencembopri
New England Patriots,Cameron Fleming,T,Stanford,0.8733,2014_140,140,OL,Yes,Fleming,Cameron,fleroningcam
Kansas City Chiefs,Eric Fisher,OT,Central Michigan,,2013_1,1,OL,No,Fisher,Eric,fisrichereri
Jacksonville Jaguars,Luke Joeckel,OT,Texas A&M,0.9726,2013_2,2,OL,Yes,Joeckel,Luke,joeukekelluk
Miami Dolphins,Dion Jordan,DE,Oregon,0.9044,2013_3,3,DL,Yes,Jordan,Dion,joriondandio
Philadelphia Eagles,Lane Johnson,OT,Oklahoma,,2013_4,4,OL,No,Johnson,Lane,johanesonlan
Detroit Lions,Ezekiel Ansah,DE,Brigham Young,,2013_5,5,DL,No,Ansah,Ezekiel,ansielsaheze
Cleveland Browns,Barkevious Mingo,OLB,LSU,0.9194,2013_6,6,LB,Yes,Mingo,Barkevious,minousngobar
Arizona Cardinals,Jonathan Cooper,OG,North Carolina,0.8764,2013_7,7,OL,Yes,Cooper,Jonathan,coohanperjon
St. Louis Rams,Tavon Austin,WR,West Virginia,0.9188,2013_8,8,WR,Yes,Austin,Tavon,ausvontintav
New York Jets,Dee Milliner,CB,Alabama,0.9932,2013_9,9,DB,Yes,Milliner,Dee,mildeenerdee
Tennessee Titans,Chance Warmack,OG,Alabama,0.8795,2013_10,10,OL,Yes,Warmack,Chance,warnceackcha
San Diego Chargers,D.J. Fluker,OT,Alabama,0.9849,2013_11,11,OL,Yes,Fluker,D.J.,flu.j.kerd.j
Oakland Raiders,D.J. Hayden,CB,Houston,,2013_12,12,DB,No,Hayden,D.J.,hay.j.dend.j
New York Jets,Sheldon Richardson,DE,Missouri,0.9859,2013_13,13,DL,Yes,Richardson,Sheldon,ricdonsonshe
Carolina Panthers,Star Lotulelei,DT,Utah,,2013_14,14,DL,No,Lotulelei,Star,lottarleista
New Orleans Saints,Kenny Vaccaro,SS,Texas,0.9018,2013_15,15,DB,Yes,Vaccaro,Kenny,vacnnyaroken
Buffalo Bills,EJ Manuel,QB,Florida State,0.9849,2013_16,16,QB,Yes,Manuel,EJ,manejuelej
Pittsburgh Steelers,Jarvis Jones,OLB,Georgia,0.8767,2013_17,17,LB,Yes,Jones,Jarvis,jonvisnesjar
San Francisco 49ers,Eric Reid,FS,LSU,0.9719,2013_18,18,DB,Yes,Reid,Eric,reiriceideri
New York Giants,Justin Pugh,OT,Syracuse,,2013_19,19,OL,No,Pugh,Justin,pugtinughjus
Chicago Bears,Kyle Long,OG,Oregon,,2013_20,20,OL,No,Long,Kyle,lonyleongkyl
Cincinnati Bengals,Tyler Eifert,TE,Notre Dame,0.8684,2013_21,21,TE,Yes,Eifert,Tyler,eiflererttyl
Atlanta Falcons,Desmond Trufant,CB,Washington,0.8528,2013_22,22,DB,Yes,Trufant,Desmond,truondantdes
Minnesota Vikings,Sharrif Floyd,DT,Florida,0.997,2013_23,23,DL,Yes,Floyd,Sharrif,florifoydsha
Indianapolis Colts,Bjoern Werner,OLB,Florida State,0.8789,2013_24,24,LB,Yes,Werner,Bjoern,werernnerbjo
Minnesota Vikings,Xavier Rhodes,CB,Florida State,0.8622,2013_25,25,DB,Yes,Rhodes,Xavier,rhoierdesxav
Green Bay Packers,Datone Jones,DE,UCLA,0.9118,2013_26,26,DL,Yes,Jones,Datone,jononenesdat
Houston Texans,DeAndre Hopkins,WR,Clemson,0.9156,2013_27,27,WR,Yes,Hopkins,DeAndre,hopdreinsdea
Denver Broncos,Sylvester Williams,DT,North Carolina,,2013_28,28,DL,No,Williams,Sylvester,wilteramssyl
Minnesota Vikings,Cordarrelle Patterson,WR,Tennessee,,2013_29,29,WR,No,Patterson,Cordarrelle,patllesoncor
St. Louis Rams,Alec Ogletree,OLB,Georgia,0.9889,2013_30,30,LB,Yes,Ogletree,Alec,ogllecreeale
Dallas Cowboys,Travis Frederick,C,Wisconsin,,2013_31,31,OL,No,Frederick,Travis,frevisicktra
Baltimore Ravens,Matt Elam,FS,Florida,0.9924,2013_32,32,DB,Yes,Elam,Matt,elaattlammat
Jacksonville Jaguars,John Cyprien,SS,Florida International,,2013_33,33,DB,No,Cyprien,John,cypohnienjoh
Tennessee Titans,Justin Hunter,WR,Tennessee,0.9829,2013_34,34,WR,Yes,Hunter,Justin,huntinterjus
Philadelphia Eagles,Zach Ertz,TE,Stanford,0.909,2013_35,35,TE,Yes,Ertz,Zach,ertachrtzzac
Detroit Lions,Darius Slay,CB,Mississippi State,,2013_36,36,DB,No,Slay,Darius,slaiuslaydar
Cincinnati Bengals,Giovani Bernard,RB,North Carolina,0.9232,2013_37,37,RB,Yes,Bernard,Giovani,beraniardgio
San Diego Chargers,Manti Te'o,ILB,Notre Dame,0.9977,2013_38,38,LB,Yes,Te'o,Manti,te'ntie'oman
New York Jets,Geno Smith,QB,West Virginia,0.954,2013_39,39,QB,Yes,Smith,Geno,smienoithgen
San Francisco 49ers,Cornellius Carradine,DE,Florida State,,2013_40,40,DL,No,Carradine,Cornellius,cariusinecor
Buffalo Bills,Robert Woods,WR,USC,0.9987,2013_41,41,WR,Yes,Woods,Robert,wooertodsrob
Oakland Raiders,Menelik Watson,OT,Florida State,,2013_42,42,OL,No,Watson,Menelik,watliksonmen
Tampa Bay Buccaneers,Johnthan Banks,CB,Mississippi State,0.8715,2013_43,43,DB,Yes,Banks,Johnthan,banhannksjoh
Carolina Panthers,Kawann Short,DT,Purdue,0.8556,2013_44,44,DL,Yes,Short,Kawann,shoannortkaw
Arizona Cardinals,Kevin Minter,LB,LSU,0.9419,2013_45,45,LB,Yes,Minter,Kevin,minvinterkev
Buffalo Bills,Kiko Alonso,MLB,Oregon,,2013_46,46,LB,No,Alonso,Kiko,aloikonsokik
Dallas Cowboys,Gavin Escobar,TE,San Diego State,,2013_47,47,TE,No,Escobar,Gavin,escvinbargav
Pittsburgh Steelers,Le'Veon Bell,RB,Michigan State,,2013_48,48,RB,No,Bell,Le'Veon,beleonellle'
New York Giants,Johnathan Hankins,DT,Ohio State,0.8932,2013_49,49,DL,Yes,Hankins,Johnathan,hanhaninsjoh
Chicago Bears,Jon Bostic,ILB,Florida,0.9717,2013_50,50,LB,Yes,Bostic,Jon,bosjonticjon
Washington Redskins,David Amerson,FS,North Carolina State,0.9021,2013_51,51,DB,Yes,Amerson,David,amevidsondav
New England Patriots,Jamie Collins,OLB,Southern Mississippi,0.8559,2013_52,52,LB,Yes,Collins,Jamie,colmieinsjam
Cincinnati Bengals,Margus Hunt,DE,Southern Methodist,,2013_53,53,DL,No,Hunt,Margus,hungusuntmar
Miami Dolphins,Jamar Taylor,CB,Boise State,0.867,2013_54,54,DB,Yes,Taylor,Jamar,taymarlorjam
San Francisco 49ers,Vance McDonald,TE,Rice,,2013_55,55,TE,No,McDonald,Vance,mcdncealdvan
Baltimore Ravens,Arthur Brown,ILB,Kansas State,0.996,2013_56,56,LB,Yes,Brown,Arthur,brohurownart
Houston Texans,D.J. Swearinger,SS,South Carolina,0.8826,2013_57,57,DB,Yes,Swearinger,D.J.,swe.j.gerd.j
Denver Broncos,Montee Ball,RB,Wisconsin,0.8844,2013_58,58,RB,Yes,Ball,Montee,balteeallmon
New England Patriots,Aaron Dobson,WR,Marshall,,2013_59,59,WR,No,Dobson,Aaron,dobronsonaar
Atlanta Falcons,Robert Alford,CB,Southeastern Louisiana,,2013_60,60,DB,No,Alford,Robert,alfertordrob
Green Bay Packers,Eddie Lacy,RB,Alabama,0.94,2013_61,61,RB,Yes,Lacy,Eddie,lacdieacyedd
Seattle Seahawks,Christine Michael,RB,Texas A&M,0.9887,2013_62,62,RB,Yes,Michael,Christine,micineaelchr
Kansas City Chiefs,Travis Kelce,TE,Cincinnati,,2013_63,63,TE,No,Kelce,Travis,kelvislcetra
Jacksonville Jaguars,Dwayne Gratz,CB,Connecticut,0.8576,2013_64,64,DB,Yes,Gratz,Dwayne,grayneatzdwa
Detroit Lions,Larry Warford,OG,Kentucky,0.8622,2013_65,65,OL,Yes,Warford,Larry,warrryordlar
Oakland Raiders,Sio Moore,OLB,Connecticut,,2013_66,66,LB,No,Moore,Sio,moosiooresio
Philadelphia Eagles,Bennie Logan,NT,LSU,0.859,2013_67,67,DL,Yes,Logan,Bennie,lognieganben
Cleveland Browns,Leon McFadden,CB,San Diego State,,2013_68,68,DB,No,McFadden,Leon,mcfeondenleo
Arizona Cardinals,Tyrann Mathieu,FS,LSU,0.9132,2013_69,69,DB,Yes,Mathieu,Tyrann,matannieutyr
Tennessee Titans,Blidi Wreh-Wilson,CB,Connecticut,,2013_70,70,DB,No,Wreh-Wilson,Blidi,wreidisonbli
St. Louis Rams,T.J. McDonald,SS,USC,0.9838,2013_71,71,DB,Yes,McDonald,T.J.,mcd.j.aldt.j
New York Jets,Brian Winters,OG,Kent State,,2013_72,72,OL,No,Winters,Brian,winianersbri
Tampa Bay Buccaneers,Mike Glennon,QB,North Carolina State,0.9773,2013_73,73,QB,Yes,Glennon,Mike,gleikenonmik
Dallas Cowboys,Terrance Williams,WR,Baylor,,2013_74,74,WR,No,Williams,Terrance,wilnceamster
New Orleans Saints,Terron Armstead,OT,Arkansas-Pine Bluff,,2013_75,75,OL,No,Armstead,Terron,armroneadter
San Diego Chargers,Keenan Allen,WR,California,0.9949,2013_76,76,WR,Yes,Allen,Keenan,allnanlenkee
Miami Dolphins,Dallas Thomas,OT,Tennessee,0.8556,2013_77,77,OL,Yes,Thomas,Dallas,tholasmasdal
Buffalo Bills,Marquise Goodwin,WR,Texas,0.8826,2013_78,78,WR,Yes,Goodwin,Marquise,gooisewinmar
Pittsburgh Steelers,Markus Wheaton,WR,Oregon State,0.8733,2013_79,79,WR,Yes,Wheaton,Markus,whekustonmar
